Paddock,Channel,Section,CPTu,PiezometerID,SNumber,Logger,certificate_date,G,Tk,CF,A,B,C,R0,Tm,S0,IB_ReadingB,IB_ Temp_C,IB_Barometer_mbar,Comentarios
Silt Trap,1,5-6,"CPT15-10
CPT9-10
",VW 22,54009,1849,12/23/2015,0.15133,,,9.70E-07,-0.1523029,880.8238515,6013.6,22,978,,,,
Silt Trap,1,,,VW 22,60433,1849,8/23/2019,,-0.12902,0.18905,-0.000000317,-0.18454,1677.596138,8953,19.9,1015.2,8688.9,32.2,957.6,New piezometer
Silt Trap,1,6-6,CPT18-06,VW-ST-04,1833514,16752,9/20/2018,-0.2681,-0.02079,,-8.99E-07,-0.2558,2285.626712,8671,24.3,993.9,8693.4,18.5,,
Silt Trap,1,6-6,CPT18-08,VW-ST-03,1833528,16564,9/20/2018,-0.2574,-0.0612,,-1.15E-06,-0.2412,2256.718509,8973,23.7,993.9,8988.2,16.9,,
Silt Trap,4,6-7,CPT11-12,VW 28,53949,1817,12/23/2015,0.15124,,,-2.16E-07,-0.1490685,904.5185195,6015.4,24,1013,,,,The channel is not specified. 
Silt Trap,3,6-7,CPT11-12,VW 27,53954,1817,12/23/2015,0.14925,,,5.16E-07,-0.1540972,862.7542228,5707.8,24,1013,,,,The channel is not specified.
Silt Trap,2,6-7,CPT11-12,VW-25,54016,1817,12/23/2015,0.14831,,,-3.98E-07,-0.1443587,875.7220453,5968,22,978,,,,
Silt Trap,1,,,VW-25,60434,1817,8/23/2019,,-0.29119,0.18696,-4.75E-07,-0.18017,1662.653673,9014,19.8,1015.2,9042.5,27.2,947.7,New piezometer
Silt Trap,1,6-7,CPT18-11,VW-ST-05,1833515,9852,9/20/2018,-0.2718,-0.003307,,-1.06E-06,-0.2575,2288.909263,8585,25.3,993.9,8594.4,18.5,,
Silt Trap,1,6-7,CPT18-12,VW-ST-07,1833526,20618,9/20/2018,-0.2633,0.00473,,-9.61E-07,-0.2496,2337.046132,9048,23.6,993.9,9056.5,16.5,,
Y3,1,9,CPT17-18,VW 42,53945,2137,12/23/2015,0.1506,,,2.11E-08,-0.1508018,884.9605811,5873.2,24,1013,,,,
Y3,2,9,CPT17-18,VW 41,53955,2137,12/23/2015,0.15515,,,-3.40E-07,-0.1517352,919.8319822,5981.8,24,1013,,,,
Y3,5,9,CPT17-18,VW 38,53964,2137,12/23/2015,0.1714,,,3.26E-08,-0.1717251,1011.222579,5895.2,22,1020,,,,
Y3,3,9,CPT17-18,VW 40,53971,2137,12/23/2015,0.16851,,,-3.15E-07,-0.1652742,1008.696246,6033.8,22,1020,,,,
Y3,4,9,CPT17-18,VW39,54013,2137,12/23/2015,0.14967,,,-8.05E-07,-0.1414865,890.978725,6086.5,22,978,,,,
Y3,3,9,,Y3-3,60431,10262,8/23/2019,,0.29673,0.1843,-6.46E-07,-0.17553,1574.861953,8694,19.8,1015.2,8716.1,31.8,957.6,
Y3,4,9,,Y3-4,60432,10262,8/23/2019,,0.14097,0.19115,2.70E-08,-0.19151,1632.955068,8537,19.8,1015.2,8564.4,33,957.6,
Y3,1,9,,Y3-1,60438,10262,8/23/2019,,0.085581,0.18112,-5.86E-07,-0.17292,1591.29682,8932,19.9,1015.2,9030.8,31.5,948.1,
Y3,2,9,,Y3-2,60439,10262,8/23/2019,,0.056107,0.19347,-2.97E-07,-0.18921,1726.379524,8997,19.9,1015.2,8967,31,948.1,
CROWN,1,10,CPT 20,VW 44,53969,1816,12/23/2015,0.16199,,,1.78E-07,-0.1637135,937.9775368,5765.6,22,1020,,,,
